0,4,5,6,7,8,6,10,8,6,10,8,6,10,8,6,10,8,9,10
11,15,16,17,18,19,17,21,19,17,21,19,17,21,19,17,21,19,20,21
22,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,76,32
22,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,87,43
22,84,96,96,96,96,85,86,86,86,86,86,86,96,96,96,85,86,87,43
22,84,85,86,86,86,86,86,97,97,97,97,97,86,86,86,86,86,87,43
22,84,85,86,85,85,86,85,85,85,85,85,85,85,85,86,97,97,87,43
22,84,85,86,86,86,85,85,85,85,85,85,85,85,85,85,85,86,87,43
22,84,85,86,86,97,85,86,86,86,85,85,85,85,86,86,86,86,87,43
22,84,85,86,97,97,86,86,97,97,86,85,85,85,85,86,97,97,87,43
22,84,85,86,97,97,97,97,96,97,97,85,85,85,85,85,86,86,87,43
22,84,85,86,97,97,96,97,96,96,97,85,85,85,85,85,85,86,87,43
22,84,85,86,97,97,96,97,96,96,97,86,86,86,86,86,86,97,87,43
22,84,85,85,85,85,86,96,96,97,97,97,97,97,97,85,85,86,87,43
22,84,85,96,96,96,97,85,96,96,96,96,97,85,85,96,85,86,87,32
22,84,85,96,96,97,96,96,97,86,86,86,86,86,86,86,86,86,87,43
22,95,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,32
33,106,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,109,43
44,45,46,47,48,49,50,45,46,47,48,49,50,45,46,47,48,49,50,54
55,56,57,58,59,60,61,56,57,58,59,60,61,56,57,58,59,60,61,62
