0,1,2,3,4,5,6,7,8,-1,-1,11,12,13,14,15,16,17,18,19
20,21,22,23,24,25,26,27,28,-1,-1,31,32,33,34,35,36,37,38,39
40,41,42,43,44,45,46,47,48,-1,-1,51,52,53,54,55,56,57,58,59
60,61,62,63,64,65,66,67,68,-1,-1,71,72,73,74,75,76,77,78,79
80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99
100,-1,-1,103,104,105,106,107,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119
120,-1,-1,123,124,125,126,127,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139
140,-1,-1,143,144,145,146,147,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,159
160,-1,-1,163,164,165,166,167,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,179
180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,199
200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,219
220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239
240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,259
260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,279
280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,299
300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,319
320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,339
340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,359
360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,379
380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
